postContent,likeCount
"""Il y a quelques semaines, je me retrouve dans l'avion à côté d'un type... atypique. Appelons-le Bruno. 

Bruno me regarde et me lâche :
👉 « Vous naviguez sur internet ? Vous avez accès à internet ??? »

Je réponds calmement :
« Oui, ils ont un accès à internet gratuit »

Bruno, tout content :
« Merci, je savais pas qu'ils faisaient ça, je vais me connecter tout de suite ! »

Sauf que. ça coince. Le téléphone de Bruno doit être trop vieux. 
Pas de problème pour Bruno, il appelle le steward.
« Je n'arrive pas à me connecter, merci de m'aider »

Le steward tente de résoudre la situation. Rien à faire. Et là, Bruno pète un plomb. 🤯
« C'est quand même pas normal qu'une compagnie comme la vôtre ne sache pas faire fonctionner correctement le wifi ! Je m'en souviendrai ! »

C'est ce que j'appelle le syndrome de l'enfant gâté.

20 minutes avant, Bruno ne savait même pas que le wifi existait à bord. 
Il avait payé son billet, et tout allait bien. 
Mais dès qu'il apprend qu'il peut avoir plus et que ce ""plus"" ne fonctionne finalement pas, il change de registre. 
Le wifi ne marche pas ? Le vol est tout à coup médiocre à ses yeux.

Si on ne lui avait jamais proposé de wifi, il serait sûrement descendu de l’avion satisfait.

Mais alors que Bruno a l'occasion de se plaindre, il décide d'avoir le rôle du personnage principal face à cette injustice terrible.

Ce syndrome, je le vois tout le temps.

Donnez plus, plus, plus. Bruno va évaluer l'ensemble, chercher la faille, et se plaindre. Il ne voit plus ce qu’il a reçu, il voit juste ce qui lui manque.

Attention à ces ""bonus"" que vous offrez. Parfois, ils se retournent contre vous. (Croyez-en mon expérience)

Plusieurs fois, ces dernières semaines, j'ai donné beaucoup plus que ce qui était prévu. Résultat ? Ces personnes m'ont embêté x10 en pointant un seul truc qui n'allait pas (souvent un bonus gratuit).

Mais ce que les ""Bruno"" ne réalisent pas, c’est que leur comportement les dessert à long terme. Ils passent surtout pour des grosses Karen, et ça, ça finira par jouer contre eux.

D'ailleurs, je tiens à remercier ceux qui, ces derniers jours, ont choisi de payer mon produit sans code promo. 🙏

Vous savez pourquoi vous le faites, vous êtes à l'opposé des Karen et je vous apprécie encore plus pour ça. Le karma se distribue.

Les Bruno, vous gagnerez peut-être quelques euros avec vos plaintes.
Mais vous ne serez jamais invités à ma table, et je m'en souviendrai.

Peace. ✌️",668
"L'entrepreneur multi-millionnaire Naval Ravikant s'est fait arnaquer par ses associés.  Il a créé depuis un modèle en 3 questions pour s'associer ou recruter quelqu'un :

Ce modèle s'appelle ""high energy / high intelligence / high integrity""

1) High Energy

Pour Naval, l'énergie est la capacité à être motivé intrinsèquement.

Il donne l'exemple de quelqu'un qui n'aime pas aller au bureau s'asseoir pour bosser pour un patron, il ne saura jamais donner son potentiel maximum. Mais peut être que ce même type aime peindre et sera motivé pour peindre. Dans ce cas là vous voulez vous associer avec lui pour ses qualités de peintre et pas ses qualités pour aller au travail.

Le monde est rempli de gens intelligents mais paresseux.

La question à se poser est : 
La personne va-t-elle être motivée pour ce job même dans les mauvais jours ?

2) High Intelligence 

Naval parle de l'intelligence dans le domaine.

Si vous mettez un développeur pour organiser un mariage, il ne sera probablement pas très intelligent. Et un organisateur de mariage pas forcément très intelliegent pour coder une app.

La question à se poser est : 
La personne en question a-t-elle l'intelligence du domaine pour assumer la tâche ?

3) High Integrity

C'est la plus importante selon Naval car sans elle, les deux autres sont inutiles.

Naval nous dit que l'intégrité se trouve dans les signaux subtils et surtout pas dans ce que la personne dit.

On doit chercher à savoir ce que la personne ferait par exemple lors d'un divorce, ou lors d'une faillite. Est-ce que la personne dévoilerait un visage horrible comme mentir ou être cruel ou ferait-elle ce qui est juste ?

Les signaux à chercher sont dans les gens belliqueux et vindicatifs. S'ils font des choses douteuses à leurs ennemis, ils feront des choses douteuses à vous le jour venu.

Naval nous dit aussi que les gens douteux envoient des signaux de signalement. Plus ils sont douteux, et plus ils vont essayer de se faire passer pour vertueux en mettant en avant leur gentillesse, leur morale, leur vertu, leur militantisme, ou leur combat ""pour le bien"".

À l'inverse, plus quelqu'un est intègre, et moins il acceptera qu'on dresse un portrait flatteur de lui.

La question à se poser est :
De quoi serait capable du pire cette personne si ça devait mal se passer ?

High Energy
High Intelligence
High Integrity 

__________
Si ce post t'a plu, rejoins +18 000 entrepreneurs internet sur ma newsletter ""Solobusiness"" : https://lnkd.in/ddM9QKCY",651
"Le présentiel est un héritage toxique de la révolution industrielle.
Le télétravail redonne au travail sa vraie place.

Avant, et pour la majeure partie de son histoire, les hommes, artisans, agriculteurs, etc. habitaient généralement derrière l'atelier ou directement à côté des champs.

Aujourd'hui c'est l'inverse.

Partout on nous impose le présentiel et le retour au bureau.
Alors qu'on sait très bien qu'on est meilleur et plus productif de chez soi.

Tout le monde veut du télétravail (du vrai).

Alors non, le télétravail n'est pas une mode.
C'est un retour à l'essence même de la productivité humaine.
Où le travail s'intègre dans notre quotidien et se fait là où la vie se déroule.

Au final, le télétravail c'est juste un retour à la normale, pour que le travail tourne autour de la vie.

Et non pas pour que la vie tourne autour du travail.

—
PS : Le vrai télétravail, c'est pas ""remote autorisé 2-3j/semaine"".
Le vrai télétravail, c'est ""full-remote pour tous, sauf ceux qui veulent venir au bureau quand ils le souhaitent"".
C'est cette petite différence qui change tout",596
"5 signes qui prouvent que vous vous en sortez extrêmement bien dans la vie.


👉 Vous pouvez payer vos factures sans vous soucier de quoi que ce soit : 25 % des Français n’arrivent pas à payer leurs factures sans se priver.

👉 Vous pouvez aller au restau sur un coup de tête : 7 français sur 10 réfléchissent avant d’y aller

👉 Vous pouvez voyager sans vous inquiéter : chaque année 40 % des familles ne partent pas en vacances

👉 Vous pouvez manger ce que vous voulez : des milliers de personnes n’arrivent pas à remplir leur frigo ou passe leur temps à comparer les prix, cumuler les bons de réductions…

Beaucoup rêvent de la vie de milliardaire, mais d’avoir ça, c'est une vraie bénédiction.

Peut-être qu’avant de vouloir devenir le prochain Elon Musk, prenez du recul sur ce que vous avez déjà et rendez vous compte de vos privilèges 😉

S’il faut, votre voisin vient encore de dire à ses enfants qu’ils n’iront pas à la mer cet été.

Alors que vous, vous vous plaignez parce que vous n’avez pas trouvé votre chocolat préféré au supermarché.

Il est fort probable que vous alliez beaucoup mieux que ce que vous pensez. Ça remet les idées en place, non ? 🙄

__
Crédit photo Miss Buffet Froid 📷",556
"J’emprunte 300.000€ seule à 25 ans et avec 1 seul bilan 🏠

J’ai cru que ça passerait JAMAIS. 

Mais qu’est-ce qui a joué dans la balance pour les banques ? 

1️⃣ Mes comptes toujours clean. 
Je n’ai jamais été à découvert, j’ai toujours eu de l’argent d écoute car ma maman m’a appris la gestion financière très jeune (et j’ai beaucoup fait de mimétisme sur elle).
J’étais en capacité de faire un apport de 30K€.

2️⃣ Mon bénéfice net qui s’élève à 129.800€ pour cette première année. 
Oui, c’est vrai, j’ai la chance d’avoir un bilan béton. Mais parce que je savais exactement ce que je voulais et que mon objectif était clair.

3️⃣ Ma rémunération. 
En tant que gérante au régime TNS, je n’ai pas de fiche de paie mais j’ai pu obtenir une attestation comptable du montant de la rémunération que je me verse, pour attester que je gagne confortablement ma vie. 

Alors non, ça ne s’est pas fait sur un coup de chance. 

👉 J’ai anticipé ce moment depuis 3 ans, car je savais qu’il allait arriver.

Également, merci à Rambier de m’avoir trouvé un super terrain 🙏

C’est la première fois que je fais une vidéo de ce genre sur mon compte. 

Si ça te plaît et que tu veux suivre ce genre d’aventures, dis le moi en commentaires (j’ai vraiment besoin de savoir ce qui plaît à mon audience!) ❤️ 

#house #construction #entrepreneur #marketingdigital #entrepreneurship #newhouse #maison",534
"Il y a quelques mois, j'ai pris un séminaire d'une journée à 1000 euros. À la pause, un participant me dit :

""Ils abusent de faire payer les sodas""

Dans ma tête, je me dis :
""qu'est-ce-qu'il me casse les c*uilles lui, il vient de payer 3€ son coca zéro dans un séminaire à 1000 euros""

Mais comme je débats jamais, je réponds :
""ah oui, pas normal""

Depuis que je me suis lancé en business, il y a 3 types de problèmes :

Les problèmes à 10 euros, les problèmes à 1000 euros et les problèmes à 10 000 euros.

Savoir si je paye le coca zéro ou pas, j'en ai rien à foutre parce que c'est une question parasite à 10 euros.

Ce qui m'importe dans le séminaire, c'est quelle est l'info ou les 2 infos utiles pour moi qui vont faire passer la valeur séminaire de 1000 euros à +10 000 euros de valeur dans 3-6 mois.

Problèmes à 10 euros :
- Est-ce que je fais un tupperware ou je mange dehors ?
- Est-ce que je prends le RER ou le taxi vers Orly?
- Est-ce que je tourne 30 minutes pour trouver une place ou je prends le parking payant direct ?

Problèmes à 1000 euros:
- Est-ce que je fais payer une ligne WhatsApp en plus de mon accompagnement ?
- Est-ce que je mets mon accompagnement à 1000 euros ou 1500 euros par mois ?
- Est-ce que je laisse 2 ou 3 choix possibles dans mon offre ?

Problèmes à 10 000 euros :
- Est-ce que je prends un COO freelance ?
- Est-ce que je prends un fiscaliste ?
- Est-ce que je vais créer une troisième offre ?

Le problème est qu'on a été éduqué par la société et nos parents  à ""économiser"" en étant obsédés par des questions à 10 euros. C'est jouer défensif.

Alors qu'on devrait être focus à 90% sur les questions à 1000 et 10 000 euros. Et la jouer offensif.

Je vois ça au quotidien avec 90% des gens que je rencontre.

_____
PS :J'ai toujours eu cette intuition mais elle m'a été confirmée par le livre ""I will teach you how to be rich"" de Ramit Sethi",520
"J’ai le sentiment que je suis en train de passer à côté de ma jeunesse. Mais je ne suis pas sûre que ça me dérange vraiment.

J’ai pas la vie normale d’une jeune femme de 25 ans. 
Et ça fait déjà 3 ans que ça dure 🤯

Les copines que j’avais au lycée ont un CDI, sont encore en études ou font le tour du monde en sac-à-dos.

👉 Je gère une équipe de 12 personnes, un business à 6 chiffres, un bureau, une maison en construction.

À mon âge, ça n’a rien de trop normal.

Je bosse énormément, mais c’est ça qui me rend heureuse. 
J’ai des journées hyper remplies, je crée des choses en permanence. 
Et j’ai la chance d’être hyper passionnée par ce que je fais.

Mais c’est vrai que j’ai l’impression de rater des choses. 
Parfois, je me demande : “ce serait pas mieux d’être salarié ?""

Quand on a un job “lambda”, on rentre chez soi et le taff reste au bureau. 
On reporte les problèmes au lendemain. 
Et si la boîte coule, c’est ok parce que c’est pas la nôtre.

Quand on a sa boîte, on y pense en permanence. On est marié à son business 😅

Et c’est une pression énorme. 
C’est épuisant et ça m’arrive de ne plus vouloir toutes ces responsabilités.

Est-ce que je gâche ma jeunesse ? Peut-être. 

Mais je sais que ce que je fais s’aligne complètement avec mes objectifs de vie, et la pression n’est pas une raison suffisante pour tout arrêter.

Le pire pour moi, ce serait de devoir tout abandonner. 
Alors si être heureuse et épanouie veut dire rater des trucs, c’est ok. 

Restez aligné, suivez votre instinct et vous vous en remercierez plus tard ❤️",514
"Inoxtag qui gravit l'Everest : ""un délire de riche égocentré"".
La réaction de Mike Horn a secoué YouTube :

L'ascension de l'Everest par Inoxtag a suscité beaucoup de critiques :
- ""C'est pas un exploit lol, l'Everest c'est le +7000m le plus facile""
- ""Tout le monde va vouloir y aller, ça va encore plus polluer""
- ""Son appel à la déconnexion des écrans est hypocrite""
- ""Les Sherpas sont des gens qui sont exploités""
- ""C'est juste un délire de riche égocentré""

La réaction de Mike Horn était attendue.
Hier soir, il a remis l'église au centre du village.
En félicitant/encourageant Inox pour son aventure.

Rappelez-vous :
Quelqu'un de meilleur que vous ne vous critiquera jamais.

La prochaine fois que vous voulez critiquer quelqu'un, ne le faites pas.

Soyez spécifique dans vos éloges et général dans vos critiques",509
"À 25 ans je suis en train de faire construire ma première maison 🙏

Mon prochain projet va être le plus gros de toute ma vie et je n'en reviens pas d’en être déjà là 🤯

Je ne suis pas sûre de savoir dans quoi je m’embarque.
Mais j’ai trop HÂTE. 

C’est la concrétisation de ce pourquoi je travaille autant depuis 3 ans.
Les périodes de stress, les semaines où j’ai bossé 12h par jour, les échecs. 

C’était pour pouvoir me construire la vie dont j’ai toujours rêvé.
Et je n’en reviens pas que ça arrive déjà si vite 😍

J’ai trop envie de tout vous raconter.
Est-ce que ça vous dit de suivre l’avancée du projet et des travaux ?

Si oui, dites-moi en commentaire et sous quel format vous aimeriez voir ça 👇",480
"Les entrepreneurs avec le plus de succès que j'ai fréquentés ont une obsession avec le silence. Leur bureau est insonorisé, ils ont tous des casques anti-bruits, des vitrages ultra-puissants chez eux. Ils vont dans les restaurants où il n'y a pas de musique. Ils prennent les hôtels 5 étoiles pour ne pas avoir de bruit. J'en ai même un qui m'a dit ""je ne peux pas être ami avec quelqu'un de bruyant"".

La raison est toujours la même : les décisions à plus fort impact sont prises dans le calme.

Dans un monde où le bruit est omniprésent, le silence est un luxe dans lequel les meilleurs investissent massivement.

Juste mes observations empiriques ✌️",461
"Hier, Nina Ramen 🍓 a donné une conférence sur comment monter son business à 1 million par an, voici les 5 points que j'en retiens :

(c'était au mastermind à Lisbonne)

1) Se virer de tous ses jobs pour dire oui/non sur WhatsApp 

Nina s'est virée de toutes ses missions, notamment d'écrire ses posts Linkedin. Elle a mis des personnes partout pour processer, surtout là où elle était mauvaise.

Son rôle maintenant principalement n'est que de dire oui/non sur WhatsApp et de coacher sa team (et sa team coach ses clients)

2) Elle commence chaque mois avec 25 000 euros de dette

Elle a tellement processé qu'elle commence chaque mois où elle doit lâcher 25k€, tous les mois. 

Pour arriver à 1M€ annuel, on doit lâcher de la marge et cela implique une certaine anxiété financière et tout le monde n'a pas les épaules ou l'envie 

3) Le danger vient de l'intérieur 

Nina a eu plus de problèmes avec des mauvais recrutements que de mauvais clients et des haters.

Il faut faire attention à ce que la team soit contente et éteindre les feux car un prestataire/team mécontent peut vraiment faire des dommages réputationnels.

Le CEO ne peut pas négliger sa team, il faut une équipe de A-players, bien les payer, et surtout avoir des personnes alignées en valeurs et en état d'esprit.

4) Répéter l'ennui au lieu de chercher le nouvel objet brillant 

Nina avoue que le sujet de son monoproduit n'est pas ce qui l'amuse le plus. Mais ca fait 3 ans qu'elle fignole chaque partie de son produit. Elle répète les mêmes mouvements ennuyeux au lieu d'aller toujours chercher le nouvel objet brillant.

Elle disait :
1 produit 
1 canal marketing
1 canal de vente

5) Manager c'est vraiment pénible mais ne pas manager c'est dangereux 

Le problème des entrepreneurs internet est qu'ils ne veulent pas manager des humains.

Mais tout seul ou sans management, on ne peut pas arriver à 1M€ annuel.

Son énergie maintenant est vouée à manager, manager, manager.

Elle qui était créatrice de contenu et copywrieuse est devenue manageuse d'une PME internet.

Merci Nina d'être passée à Lisbonne au Mastermind PME internet et bravo pour les 7 chiffres !",453
"Ce week-end j'ai vécu l'évènement le plus magique de ma vie, organisé par mon amie Alice Cathelineau.

Ça fait 6 mois que je vois mon amie bosser comme une dingue sur et évent.

Pour ceux qui y étaient,  vous avez à quel point c'était ouf.
Il y avait 500 personnes.

Pour la première fois, j'ai conférencé sur un sujet autre que les réseaux sociaux et le cash.

J'ai parlé de :
👉 La solitude entrepreneuriale.
👉 Vouloir tout faire seul, alors que ce n'est pas la solution.
👉 S'entourer des personnes qui vont nous tirer vers le haut.
👉 Ne pas craindre la concurrence (il n'y en a pas).

J'ai passé une soirée exceptionnelle aux côté de personnes comme Caroline Mignaux, Harmony Albertini, Caroline Kateb-Frisou, Elina, Soleine, Erly, Pierre...

Je découvre peu à peu que mon kiffe à moi : c'est la scène, et vous rencontrer ❤️

Crédit photo : Jossuha 📷 THÉOPHILE",445
"Le foot féminin ? Personne n’en a rien à foutre.
Les femmes sont des sous-m*rdes.

Sur la photo, c’est Béatrice Kaboré, capitaine de l’équipe de foot féminine de Nîmes.

Une battante, une vraie.

Et pourtant, pas un centime de sponsor 🤮 

Pourquoi ? Parce que c’est du foot… féminin.

Ouais, en 2024, on investit des millions dans des infrastructures pour les JO, on paye des stars internationales pour des shows d’ouverture… mais financer des femmes qui transpirent sur le terrain et inspirent les jeunes ? 

Bah vous comprene, c’est pas “vendeur”.

Les stars du foot masculin touchent des millions, mais quand il s’agit de soutenir des équipes féminines qui jouent avec la même passion, autant pisser dans un violon.

Alors, si cette injustice vous révolte autant que nous, bougez.

👉 Partagez, commentez, faites du bruit.

Peut-être qu’à force, on attirera l’attention d’un sponsor qui a les couilles d’investir là où ça compte vraiment.

Parce que Béa et son équipe méritent la lumière. ❤️

PS: Jouez le jeu et donnez de la lumière à cette publication 🙏",437
